Product,Price
"Monitor Gamer SuperFrame Vision, 23.8 Pol, Full HD, 107% sRGB, Fast IPS, 1ms, 180Hz, HDR, FreeSync, HDMI/",699.99
"Monitor Gamer SuperFrame View, 23.8 Pol, Full HD, IPS, 5ms, 75Hz, 99% sRGB, FreeSync, HDMI/VGA, SFVFB-247",479.99
"Monitor Gamer SuperFrame Elegance Series, White, 30 pol, Curvo, UltraWide, Full HD, VA, 1ms, 200Hz, FreeS",1299.99
"Monitor Gamer Duex, 27 Pol, Curvo, Full HD, VA, 240Hz, 1Ms, FreeSync/G-Sync, HDMI/DP, Preto, DXMO27CF240S",959.99
"Monitor Gamer Ninja Tenseigan, 27 Pol, Full HD, IPS, 1ms, 240Hz, HDR, FreeSync, HDMI/DP, White, MGN-007-2",997.90
"Monitor Gamer Ninja Tenseigan, 27 Pol, Quad HD, IPS, 1ms, 240Hz, FreeSync, HDR, HDMI/DP, Black, MGN-009-2",1179.90
"Monitor Gamer SuperFrame Precision, 27 Pol, Full HD, 165Hz, 1ms, IPS, 107% sRGB, FreeSync/G-Sync, HDMI/DP",899.99
"Monitor Gamer Duex, 27 Pol, Full HD, IPS, 165Hz, 1ms, HDR, FreeSync, HDMI/DP, DX270GHQ 165HZ",799.99
"Monitor Gamer SuperFrame Precision Ultra, 24 Pol, Curvo, Full HD, Fast VA, 1ms, 165Hz, RGB, FreeSync/G-Sy",749.99
"Monitor Gamer SuperFrame OverView, 27 Pol, Full HD, IPS, 1ms, 180Hz, FreeSync, HDR, HDMI/DP, SFOFB-27180-",999.90
"Monitor Gamer Gigabyte G24F2, 24 Pol, Full HD, 125% sRGB, FreeSync, 165Hz, 1ms, IPS, HDMI/DP",1097.90
"Monitor Gamer Ninja Tenseigan, 27 Pol, Quad HD, IPS, 1ms, 165Hz, FreeSync, HDR, HDMI/DP, Black, MGN-008-2",999.99
"Monitor Gamer SuperFrame Vision, 27 Pol, Quad HD, IPS, 100Hz, HDR, FreeSync, HDMI/DP, SFVFB27100-QHD-PRO",699.99
"Monitor Gamer SuperFrame Vision, 24 Pol, Full HD, 102% sRGB, E-LED, HDR, FreeSync, HDMI/VGA, 100Hz, SFPFB",499.99
"Monitor Gamer SuperFrame Prisma V3, 27 Pol, Fast IPS, Quad HD, 1ms, 180Hz, 130% sRGB, FreeSync, HDMI/DP,",1349.99
"Monitor Gamer SuperFrame Prisma, 27 Pol, Flat, Fast IPS, Quad HD, 0.3ms, 180Hz, FreeSync, Branco, HDMI/DP",999.99
"Monitor VX PRO, 21.5 Pol, HD, LED, 75Hz, HDMI/VGA, VX215G",399.90
"Monitor Gamer SuperFrame Elegance Series, Black, 30 pol, Curvo, UltraWide, Full HD, VA, 1ms, 200Hz, FreeS",1199.99
"Monitor Gamer SuperFrame Precision Ultra, 23,6 Pol CURVO, Full HD, Fast VA, 1ms, 165Hz, FreeSync/G-Sync,",739.90
"Monitor Gamer Duex, 27 Pol, Full HD, IPS, 240Hz, 1Ms, FreeSync/G-Sync, HDMI/DP, Preto, DXMO27F240S",799.99
